capacity_leased_mbps,valid,revenue_mno_total,revenue_mvno_gross,nM,nV,pM,pV,rM_mbps,rV_mbps,revenue_mvno_retained
5.0,False,,,,,,,,,
10.0,False,,,,,,,,,
15.0,False,,,,,,,,,
20.0,False,,,,,,,,,
25.0,False,,,,,,,,,
30.0,False,,,,,,,,,
35.0,False,,,,,,,,,
40.0,False,,,,,,,,,
45.0,False,,,,,,,,,
50.0,False,,,,,,,,,
55.0,False,,,,,,,,,
60.0,False,,,,,,,,,
65.0,False,,,,,,,,,
70.0,False,,,,,,,,,
75.0,False,,,,,,,,,
80.0,False,,,,,,,,,
85.0,True,15623.811717498153,2734.5629427937633,199.38822222222223,1033.8143381058983,68.52312998586447,2.645119962065809,45.89037355377059,0.8221979214926797,273.4562942793763
90.0,True,15697.496338130157,2834.6436980006292,199.387,1058.3232233833332,68.44135781133971,2.6784290804264987,45.639886251360416,0.8504018244282755,283.4643698000629
95.0,True,15768.715002362973,2932.085076830714,199.38577777777778,1081.9523094507545,68.35913065176719,2.709994748584775,45.38939587800756,0.878042397711837,293.20850768307145
100.0,True,15837.561416973156,3027.0073403436213,199.38455555555555,1104.7358593699587,68.27637563367222,2.7400281385542713,45.138902433655566,0.9051937542520883,302.70073403436214
105.0,True,15903.866786697508,3119.528804461865,199.38211111111113,1126.6967400118656,68.19213011093521,2.7687386442859614,44.88868108640081,0.9319277874088302,311.95288044618655
110.0,True,15965.02354795138,3209.818184182793,199.36622222222223,1147.8151262386832,68.09672687208898,2.7964592126444283,44.64146383874232,0.9583424846513651,320.9818184182793
115.0,True,16008.593785883917,3298.178487936695,199.2708888888889,1168.2391675133058,67.94887714025688,2.8232048536406653,44.411906070909616,0.9843874713153733,329.81784879366955
120.0,True,16019.603926968088,3384.551117770144,199.0961111111111,1188.4280248436212,67.67338571196748,2.847922673495939,44.19975835233123,1.0097372116059797,338.45511177701445
125.0,True,16011.694646135373,3468.541613978447,199.03377777777777,1207.677706139369,67.27504920549104,2.872075551569525,43.96238717716256,1.0350443612939781,346.85416139784473
130.0,True,16001.182238850353,3550.4538913504907,199.0191111111111,1226.0870789931412,66.85676396778992,2.895759976743342,43.71439482082123,1.0602835820336316,355.0453891350491
135.0,True,15990.817005079793,3630.4727017281753,199.00444444444443,1243.8544270178324,66.44771985087989,2.9187279659664926,43.466365910309094,1.085336009324382,363.04727017281755
140.0,True,15980.634243153505,3708.658594299679,198.99833333333333,1261.0113474969132,66.04498283042803,2.9410192078455957,43.21644234876339,1.1102199855528476,370.86585942996794
145.0,True,15970.545624513194,3785.088493395027,198.9897777777778,1277.5885903396434,65.65144263363558,2.962681822627088,42.96703124895304,1.134950649187092,378.5088493395027
150.0,True,15960.475464877378,3859.822575264965,198.9787777777778,1293.609432005487,65.26643339644271,2.9837619298129803,42.71812348497243,1.1595462764016378,385.98225752649654
155.0,True,15950.358471146556,3932.914471518755,198.96777777777777,1309.0942662764062,64.88857437609501,3.0043019611609445,42.46918819909421,1.1840247413265566,393.2914471518755
160.0,True,15940.139074005532,4004.414490907575,198.95922222222222,1324.062295879561,64.51656720818751,3.024339944856963,42.21970666239257,1.2084023576376643,400.4414490907575
165.0,True,15929.769419494973,4074.373145041529,198.9531111111111,1338.5333526923182,64.14995733255874,3.043908571158394,41.969688000187645,1.2326924814246873,407.43731450415294
170.0,True,15919.208433515865,4142.849964665485,198.94088888888888,1352.5314748230455,63.791026250037625,3.063034052651161,41.72093553193914,1.2569023580189986,414.2849964665485
175.0,True,15908.420721441744,4209.879171893595,198.9311111111111,1366.0691132894376,63.43668115184351,3.081746839115908,41.471642891453214,1.2810479228141487,420.98791718935956
180.0,True,15897.375997517964,4275.509165670463,198.9201111111111,1379.1655921491085,63.087727421410904,3.1000694840480154,41.222579025303844,1.305136968502179,427.5509165670463
185.0,True,15886.048424864068,4339.7761410273415,198.91155555555557,1391.8346853802468,62.74270925629433,3.11802557201089,40.972984084495394,1.3291808426907992,433.97761410273415
190.0,True,15874.41540988031,4402.7193705860145,198.90544444444444,1404.0918136331277,62.40134859566219,3.135634954806732,40.722867202674195,1.3531878624686913,440.27193705860145
195.0,True,15862.45748677121,4464.388948867572,198.89322222222222,1415.9569057533608,62.06600353127142,3.1529130093774222,40.47397849990978,1.377160556282962,446.4388948867572
200.0,True,15850.158350757305,4524.806685359639,198.88466666666667,1427.4378159695475,61.733428422169105,3.1698800709481625,40.22431761121185,1.401111822613131,452.48066853596396
205.0,True,15837.50384826562,4584.019789204103,198.87122222222223,1438.553453943347,61.405998824385705,3.186548109587752,39.97561794595162,1.425042631805278,458.40197892041033
210.0,True,15824.482233153038,4642.042828022201,198.8651111111111,1449.308454241838,61.07981244204476,3.2029364173208705,39.72541968704638,1.448966915119909,464.2042828022202
215.0,True,15811.082921556717,4698.93373158344,198.84922222222224,1459.7264813717422,60.75981805767105,3.219050823252677,39.477147118168254,1.472878671064178,469.89337315834405
220.0,True,15797.298195949028,4754.6907279767265,198.84433333333334,1469.8051361530866,60.439622992038856,3.2349123098189425,39.226664744448335,1.4967970555321697,475.46907279767265
225.0,True,15783.120035079395,4809.369840451366,198.83333333333334,1479.5671143004115,60.124160160971485,3.2505249636650624,38.977367979882644,1.520715064732886,480.9369840451366
230.0,True,15768.542895083094,4862.983768815859,198.826,1489.0165983185184,59.81037441355165,3.2659029955122154,38.72732942371722,1.5446436276111963,486.2983768815859
235.0,True,15753.562392363623,4915.575555716059,198.81255555555555,1498.1704953937588,59.500992576465116,3.2810521705168916,38.47845513892762,1.5685798159990847,491.5575555716059
240.0,True,15738.174515469813,4967.159559028781,198.80033333333333,1507.033820174897,59.1937182148114,3.2959841328924675,38.22931215742428,1.5925322762308485,496.7159559028781
245.0,True,15722.376148765485,5017.752724880439,198.79422222222223,1515.6123903846362,58.887016762927274,3.310709754495356,37.97897099625072,1.6165082942995948,501.7752724880439
250.0,True,15706.165581346964,5067.397931173956,198.7832222222222,1523.9231523053497,58.58395549233903,3.325231934109101,37.729542343446155,1.64050266984793,506.7397931173956
255.0,True,15689.540902421482,5116.114879632588,198.76977777777776,1531.9729374968451,58.28369705028341,3.3395595668889704,37.480547009158556,1.6645202650684887,511.6114879632588
260.0,True,15672.501314731086,5163.926586543519,198.75388888888887,1539.7706186028806,57.986122693100214,3.3536986120887518,37.231975894252244,1.6885631980425266,516.392658654352
265.0,True,15655.046759820088,5210.842317191878,198.74288888888887,1547.3187727544582,57.689051107419964,3.3676592108527195,36.98245527722585,1.7126399851548395,521.0842317191878
270.0,True,15637.177386404648,5256.885407829682,198.73555555555555,1554.6261276639232,57.392752330971035,3.3814467120329446,36.73222931645626,1.7367519765393276,525.6885407829682
275.0,True,15618.893294027452,5302.0897617881965,198.72455555555555,1561.7056224569956,57.09919680885081,3.395063503355095,36.48265801743452,1.7608952420069335,530.2089761788196
280.0,True,15600.195255793085,5346.466799322699,198.71477777777778,1568.56078271214,56.80692328290962,3.4085174500399806,36.23283623149427,1.7850758675469522,534.64667993227
