capacity_leased_mbps,nM,nV,valid,interval_contains,pV_formula_error,pM_root_residual,revenue_identity_error
5.0,,,False,False,,,
10.0,,,False,False,,,
15.0,,,False,False,,,
20.0,,,False,False,,,
25.0,,,False,False,,,
30.0,,,False,False,,,
35.0,,,False,False,,,
40.0,,,False,False,,,
45.0,,,False,False,,,
50.0,,,False,False,,,
55.0,1857.8713304837127,142.1286695162873,True,True,0.0,-2.9612579055537935e-10,0.0
60.0,1858.4004830763492,141.5995169236508,True,True,0.0,-1.0516032489249483e-12,0.0
65.0,1846.6006462575313,153.39935374246875,True,True,0.0,-2.4158453015843406e-12,0.0
70.0,1834.800556161211,165.19944383878897,True,True,0.0,-6.792788553866558e-12,0.0
75.0,1823.0007379302392,176.9992620697607,True,True,0.0,-1.3784529073745944e-11,0.0
80.0,1811.2006920771655,188.79930792283457,True,True,0.0,-2.276578925375361e-11,0.0
85.0,1799.400699759324,200.59930024067603,True,True,0.0,-3.1036506698001176e-11,0.0
90.0,1787.6008792107932,212.39912078920682,True,True,0.0,-3.242917046009097e-11,0.0
95.0,1775.8010513734205,224.1989486265796,True,True,0.0,-2.788169695122633e-11,0.0
100.0,1764.000834216877,235.99916578312312,True,True,0.0,5.856293228134746e-10,0.0
105.0,1752.2010961647106,247.79890383528934,True,True,0.0,8.526512829121202e-12,0.0
110.0,1740.4012814204777,259.5987185795222,True,True,0.0,-1.4097167877480388e-11,0.0
115.0,1225.9264240868029,774.073575913197,True,True,0.0,-1.0163603292312473e-10,0.0
120.0,1183.1024040302968,816.8975959697032,True,True,0.0,0.0,0.0
125.0,1140.3958566306947,859.6041433693053,True,True,0.0,-1.1368683772161603e-13,0.0
130.0,1097.7883197372562,902.2116802627439,True,True,0.0,-1.7520278561278246e-09,0.0
135.0,1055.2650657820886,944.7349342179115,True,True,0.0,-1.1368683772161603e-13,0.0
140.0,1012.814190664154,987.185809335846,True,True,0.0,7.389644451905042e-12,0.0
145.0,970.4259599218465,1029.5740400781535,True,True,0.0,2.913111529778689e-09,0.0
150.0,948.7015563407497,1051.2984436592503,True,True,0.0,3.032482709386386e-09,0.0
155.0,942.9541281306269,1057.045871869373,True,True,0.0,9.30867827264592e-10,0.0
160.0,937.269716420346,1062.730283579654,True,True,0.0,4.979483492206782e-11,0.0
165.0,931.6435531640541,1068.356446835946,True,True,0.0,-2.2737367544323206e-13,0.0
170.0,926.0736029771715,1073.9263970228285,True,True,0.0,7.1363501774612814e-09,0.0
175.0,920.5594920921565,1079.4405079078435,True,True,0.0,1.5847945178393275e-10,0.0
180.0,915.0966556694937,1084.9033443305063,True,True,0.0,2.0463630789890885e-12,0.0
185.0,909.6837538928464,1090.3162461071536,True,True,0.0,0.0,0.0
190.0,904.3193259005398,1095.6806740994602,True,True,0.0,0.0,0.0
195.0,899.0016547201008,1100.9983452798992,True,True,0.0,-1.4911393009242602e-08,0.0
200.0,893.7283159360238,1106.2716840639762,True,True,0.0,-1.6621015674900264e-09,0.0
205.0,888.4979198522892,1111.5020801477108,True,True,0.0,-2.396518539171666e-10,-9.094947017729282e-13
210.0,883.3099846167456,1116.6900153832544,True,True,0.0,-4.206412995699793e-11,0.0
215.0,878.1608627608016,1121.8391372391984,True,True,0.0,-7.503331289626658e-12,0.0
220.0,873.0501535413255,1126.9498464586745,True,True,0.0,-6.821210263296962e-13,0.0
225.0,867.9776167807295,1132.0223832192705,True,True,0.0,-2.8507884053396992e-08,0.0
230.0,862.9398500060963,1137.0601499939037,True,True,0.0,2.7832811611006036e-09,0.0
