key,status,details,max_abs_diff,max_rel_diff
config.model.alpha[0],ok,,0.0,0.0
config.model.alpha[1],ok,,0.0,0.0
config.model.alpha[2],ok,,0.0,0.0
config.model.alpha[3],ok,,0.0,0.0
config.model.beta[0],ok,,0.0,0.0
config.model.beta[1],ok,,0.0,0.0
config.model.beta[2],ok,,0.0,0.0
config.model.beta[3],ok,,0.0,0.0
config.model.capacity_mbps,ok,,0.0,0.0
config.model.delta,ok,,0.0,0.0
config.model.group_sizes[0],ok,,0.0,0.0
config.model.group_sizes[1],ok,,0.0,0.0
config.model.group_sizes[2],ok,,0.0,0.0
config.model.group_sizes[3],ok,,0.0,0.0
config.model.lambda_retention,ok,,0.0,0.0
config.model.mno_noise_mean[0],ok,,0.0,0.0
config.model.mno_noise_mean[1],ok,,0.0,0.0
config.model.mno_noise_mean[2],ok,,0.0,0.0
config.model.mno_noise_mean[3],ok,,0.0,0.0
config.model.mno_noise_sd[0],ok,,0.0,0.0
config.model.mno_noise_sd[1],ok,,0.0,0.0
config.model.mno_noise_sd[2],ok,,0.0,0.0
config.model.mno_noise_sd[3],ok,,0.0,0.0
config.model.monopoly_noise_mean[0],ok,,0.0,0.0
config.model.monopoly_noise_mean[1],ok,,0.0,0.0
config.model.monopoly_noise_mean[2],ok,,0.0,0.0
config.model.monopoly_noise_mean[3],ok,,0.0,0.0
config.model.monopoly_noise_sd[0],ok,,0.0,0.0
config.model.monopoly_noise_sd[1],ok,,0.0,0.0
config.model.monopoly_noise_sd[2],ok,,0.0,0.0
config.model.monopoly_noise_sd[3],ok,,0.0,0.0
config.model.mvno_noise_mean[0],ok,,0.0,0.0
config.model.mvno_noise_mean[1],ok,,0.0,0.0
config.model.mvno_noise_mean[2],ok,,0.0,0.0
config.model.mvno_noise_mean[3],ok,,0.0,0.0
config.model.mvno_noise_sd[0],ok,,0.0,0.0
config.model.mvno_noise_sd[1],ok,,0.0,0.0
config.model.mvno_noise_sd[2],ok,,0.0,0.0
config.model.mvno_noise_sd[3],ok,,0.0,0.0
config.model.participation_fee,ok,,0.0,0.0
config.model.zeta,ok,,0.0,0.0
config.solver.capacity_step_mbps,ok,,0.0,0.0
config.solver.flexible_nM_search_points,ok,,0.0,0.0
config.solver.flexible_nV_search_points,ok,,0.0,0.0
config.solver.market_clearing_quantile_tail,ok,,,
config.solver.market_clearing_search_points,ok,,0.0,0.0
config.solver.max_root_iter,ok,,0.0,0.0
config.solver.monopoly_plot_price_max,ok,,0.0,0.0
config.solver.monopoly_price_points,ok,,0.0,0.0
config.solver.nM_curve_points,ok,,0.0,0.0
config.solver.refine_levels,ok,,0.0,0.0
config.solver.reported_flexible_capacity_mbps,ok,,0.0,0.0
config.solver.reported_market_clearing_capacity_mbps,ok,,0.0,0.0
config.solver.root_rtol,ok,,0.0,0.0
config.solver.root_xtol,ok,,0.0,0.0
config.solver.top_k_seeds,ok,,0.0,0.0
config.solver.use_fast_bvn_if_available,ok,,0.0,0.0
flexible_best_capacity.capacity_leased_mbps,ok,,0.0,0.0
flexible_best_capacity.nM,ok,,0.0,0.0
flexible_best_capacity.nV,ok,,0.0,0.0
flexible_best_capacity.pM,ok,,0.0,0.0
flexible_best_capacity.pV,ok,,0.0,0.0
flexible_best_capacity.rM_mbps,ok,,0.0,0.0
flexible_best_capacity.rV_mbps,ok,,0.0,0.0
flexible_best_capacity.revenue_mno_total,ok,,0.0,0.0
flexible_best_capacity.revenue_mvno_gross,ok,,0.0,0.0
flexible_best_capacity.revenue_mvno_retained,ok,,0.0,0.0
flexible_best_capacity.valid,ok,,0.0,0.0
market_clearing_best_capacity.capacity_leased_mbps,ok,,0.0,0.0
market_clearing_best_capacity.nM,ok,,0.0,0.0
market_clearing_best_capacity.nV,ok,,0.0,0.0
market_clearing_best_capacity.nV_hi,ok,,0.0,0.0
market_clearing_best_capacity.nV_lo,ok,,0.0,0.0
market_clearing_best_capacity.pM,ok,,0.0,0.0
market_clearing_best_capacity.pV,ok,,8.881784197001252e-16,3.0987463521721285e-16
market_clearing_best_capacity.rM_mbps,ok,,0.0,0.0
market_clearing_best_capacity.rV_mbps,ok,,0.0,0.0
market_clearing_best_capacity.revenue_mno_total,ok,,3.637978807091713e-12,2.839938397129771e-16
market_clearing_best_capacity.revenue_mvno_gross,ok,,1.8189894035458565e-12,3.5220217407248233e-16
market_clearing_best_capacity.valid,ok,,0.0,0.0
monopoly.critical_price,ok,,0.0,0.0
monopoly.optimal_price,ok,,0.0,0.0
monopoly.optimal_rate,ok,,1.4210854715202004e-14,2.8341123542001087e-16
monopoly.optimal_revenue,ok,,1.8189894035458565e-12,1.260828152272086e-16
monopoly.optimal_subscribers,ok,,2.842170943040401e-14,1.4251262229409837e-16
